Occurance,Landcover,Dist_Road,Dist_Rail,Dist_WA,Dist_W
1,11,0.422272518,6675.910295,1852.919357,107.6477511
1,11,2.082679645,149.5406677,704.1269602,659.3655798
1,11,0.408003476,1260.217693,4148.241348,669.610103
1,11,0.059387927,433.7400803,1160.656845,952.7466588
1,21,0.466523065,3849.546147,695.7676532,216.1330643
1,21,0.865036173,3298.985612,1566.05193,166.4476786
1,21,2.673056986,5166.295734,1303.254018,452.267928
1,21,2.213756053,451.8232854,1466.02142,384.7874006
1,21,1.567389173,3427.795039,693.8993461,887.7586482
1,21,1.794838807,19504.48228,294.288949,102.3977761
1,21,2.3135986,2032.543528,84.95402202,852.5775559
1,21,9.68916608,1833.388661,7431.974085,888.1490291
1,21,0.245585997,16391.10587,2889.133047,683.9794958
1,21,0.145455814,16241.32481,1814.792931,649.5181739
1,21,0.186435243,8687.594966,3620.346903,555.6762987
1,21,1.027438919,1116.91863,220.4040013,117.8359872
1,21,3.413954044,10417.32848,614.4673693,163.7039393
1,21,1.582915559,508.7278568,734.9331401,79.07790943
1,21,0.361317279,375.4671248,2133.872126,1170.135663
1,21,3.953819033,971.8925537,834.7733082,282.9779579
1,21,2.026577244,558.6670007,771.8170141,288.003751
1,21,0.783233973,3244.924715,659.480212,55.57421424
1,21,1.460391714,7843.614336,659.5405541,262.8911763
1,21,151.3311781,13476.4697,1844.230222,5.976175371
1,21,3.81717555,4879.914667,531.387282,328.8437574
1,21,2.0314196,16860.56082,187.214917,90.47730379
1,21,1.757115066,564.7944969,143.5320528,43.34599796
1,21,1.66393882,5602.236851,1244.234509,977.954505
1,21,1.16275305,9694.478093,314.3042976,367.0083686
1,21,7.190580155,1249.135449,2254.678114,1002.799549
1,21,1.505778327,2041.607491,3116.796219,239.6083759
1,21,10.62319076,1211.625689,1431.419522,366.4651034
1,21,4.517085752,7253.060121,2888.726494,551.6155595
1,21,1.548126488,9907.173739,1534.415667,167.0686671
1,21,2.200778088,4301.304921,630.6653881,3.567785656
1,21,0.705231856,1701.31188,2435.344115,153.3313677
1,21,33.28408481,7246.19622,2177.630262,900.2167566
1,21,2.516265952,17108.49432,3220.190394,531.8837575
1,21,0.703074171,17043.58771,1997.798739,646.6110129
1,21,0.71299954,442.1936503,396.5583373,1425.270566
1,21,0.969233552,352.5940262,513.2200026,802.5449535
1,21,0.421917105,1430.448597,260.0958517,169.1552962
1,21,4.245113902,3661.281697,1085.191572,684.4355068
1,21,4.034311398,8330.839947,786.9168949,456.8741242
1,21,6.982493259,9446.395999,954.4757561,408.4525721
1,21,2.060640824,10624.01324,10823.22585,702.7123566
1,21,0.017195489,9421.520905,748.7950458,304.6872096
1,21,2.548834062,2803.462238,1349.300912,412.3581962
1,21,3.053175936,7099.269279,579.4591952,614.426326
1,21,0.694116378,14659.07671,735.5781148,202.7254422
1,21,3.061352498,11752.29859,676.3938978,205.9784199
1,21,44.24675879,5051.715636,698.2212219,559.6484887
1,21,0.525467217,2141.574068,536.9918692,29.21955603
1,21,6.220020388,12649.73064,2806.22965,891.1082805
1,21,3.714185286,5604.332135,1154.412249,202.4074911
1,21,15.81821597,2456.206904,464.9647429,840.1345382
1,21,2.706838314,2706.665669,1837.621162,441.3257949
1,21,2.588171116,2672.288999,1866.401633,445.743457
1,21,8.240236288,41.88261804,1327.829892,1306.939911
1,21,0.335815247,411.4329204,2346.188194,471.3956721
1,21,3.571629324,2269.00256,1872.57109,256.763677
1,21,1.879432429,5356.045842,2281.750251,654.3253377
1,21,20.20551659,1172.806292,337.837647,1947.565826
1,21,5.31561339,15529.37282,1031.67948,388.8981969
1,21,1.835214961,9777.179036,204.6703579,814.4784303
1,21,6.206718857,1111.747193,1813.771916,361.547456
1,21,9.695995018,11337.12476,2438.243752,1267.186846
1,21,0.868132802,21.39905182,2044.236846,567.1249089
1,21,54.58573475,1096.736911,1785.189582,144.4805496
1,21,23.24441717,645.3046835,2237.405885,804.8878917
1,21,0.380740472,5131.492113,318.9116288,1362.424659
