Occurance,Landcover,Dist_WA,Dist_W
1,11,1852.919357,107.6477511
1,11,704.1269602,659.3655798
1,11,4148.241348,669.610103
1,11,1160.656845,952.7466588
1,21,695.7676532,216.1330643
1,21,1566.05193,166.4476786
1,21,1303.254018,452.267928
1,21,1466.02142,384.7874006
1,21,693.8993461,887.7586482
1,21,294.288949,102.3977761
1,21,84.95402202,852.5775559
1,21,7431.974085,888.1490291
1,21,2889.133047,683.9794958
1,21,1814.792931,649.5181739
1,21,3620.346903,555.6762987
1,21,220.4040013,117.8359872
1,21,614.4673693,163.7039393
1,21,734.9331401,79.07790943
1,21,2133.872126,1170.135663
1,21,834.7733082,282.9779579
1,21,771.8170141,288.003751
1,21,659.480212,55.57421424
1,21,659.5405541,262.8911763
1,21,1844.230222,5.976175371
1,21,531.387282,328.8437574
1,21,187.214917,90.47730379
1,21,143.5320528,43.34599796
1,21,1244.234509,977.954505
1,21,314.3042976,367.0083686
1,21,2254.678114,1002.799549
1,21,3116.796219,239.6083759
1,21,1431.419522,366.4651034
1,21,2888.726494,551.6155595
1,21,1534.415667,167.0686671
1,21,630.6653881,3.567785656
1,21,2435.344115,153.3313677
1,21,2177.630262,900.2167566
1,21,3220.190394,531.8837575
1,21,1997.798739,646.6110129
1,21,396.5583373,1425.270566
1,21,513.2200026,802.5449535
1,21,260.0958517,169.1552962
1,21,1085.191572,684.4355068
1,21,786.9168949,456.8741242
1,21,954.4757561,408.4525721
1,21,10823.22585,702.7123566
1,21,748.7950458,304.6872096
1,21,1349.300912,412.3581962
1,21,579.4591952,614.426326
1,21,735.5781148,202.7254422
1,21,676.3938978,205.9784199
1,21,698.2212219,559.6484887
1,21,536.9918692,29.21955603
1,21,2806.22965,891.1082805
1,21,1154.412249,202.4074911
1,21,464.9647429,840.1345382
1,21,1837.621162,441.3257949
1,21,1866.401633,445.743457
1,21,1327.829892,1306.939911
1,21,2346.188194,471.3956721
1,21,1872.57109,256.763677
1,21,2281.750251,654.3253377
1,21,337.837647,1947.565826
1,21,1031.67948,388.8981969
1,21,204.6703579,814.4784303
1,21,1813.771916,361.547456
1,21,2438.243752,1267.186846
1,21,2044.236846,567.1249089
1,21,1785.189582,144.4805496
1,21,2237.405885,804.8878917
1,21,318.9116288,1362.424659
1,21,4080.597212,350.6552133
1,21,0,0
1,21,2158.306751,1067.186385
1,21,1958.069785,518.7956374
1,21,329.4947349,821.340301
1,21,800.5790728,329.9736801
1,21,825.0378825,725.1902944
1,21,1514.742266,1147.802622
1,21,663.8314508,13.24033973
1,21,2163.989936,256.7593563
1,21,4060.863418,666.078556
1,21,2621.830627,416.77905
1,21,846.2241961,393.217977
1,21,2114.031819,369.0712227
1,21,2060.713714,676.0694103
1,21,264.8333915,294.341068
1,21,4690.99642,13.20790184
1,21,1040.426552,263.1115185
1,21,145.3616592,140.7907235
1,21,10754.71566,422.8503369
1,21,269.7911344,87.84325591
1,21,298.2752861,481.7130713
1,21,1076.421404,229.4393831
1,21,1587.021687,499.4540252
1,21,792.787211,705.8469321
1,21,1536.951015,375.8991005
1,21,261.0210705,346.5331791
1,21,1023.189765,71.5179494
1,21,5450.193178,759.9310212
1,21,1437.50942,329.0405314
1,21,3727.228995,946.5619425
1,21,4811.952782,1009.970822
1,21,197.6375046,46.31741204
1,21,2973.097274,563.8788348
1,21,3926.818965,1116.387706
1,21,2491.681262,115.6412865
1,21,401.7155785,210.5848306
1,21,2372.174298,932.136352
1,21,1534.446973,440.3454533
1,21,2288.383386,769.7539499
1,21,568.1109655,525.8103116
1,21,174.3497431,176.8058317
1,21,3203.653522,135.1745362
